personId,timestamp,weekday,date,time,location,price,last4ccnum,loyaltynum.x
1,2014-01-06T00:16:00Z,Mon,2014-01-06,08:16,Brew've Been Served,14.97,1286,L3572
1,2014-01-06T04:00:00Z,Mon,2014-01-06,12:00,Jack's Magical Beans,18.59,9241,L3288
1,2014-01-06T05:27:00Z,Mon,2014-01-06,13:27,Abila Zacharo,50.14,1286,L3288
1,2014-01-06T11:50:00Z,Mon,2014-01-06,19:50,Frydos Autosupply n' More,273.87,9241,NA
1,2014-01-06T23:54:00Z,Tue,2014-01-07,07:54,Brew've Been Served,11.92,1286,L3572
1,2014-01-07T04:00:00Z,Tue,2014-01-07,12:00,Jack's Magical Beans,18.77,9241,L3288
1,2014-01-07T05:24:00Z,Tue,2014-01-07,13:24,Kalami Kafenion,45.05,1286,L3288
1,2014-01-07T12:15:00Z,Tue,2014-01-07,20:15,Ouzeri Elian,11.41,9241,L3288
1,2014-01-08T00:16:00Z,Wed,2014-01-08,08:16,Brew've Been Served,7.26,1286,L3572
1,2014-01-08T04:00:00Z,Wed,2014-01-08,12:00,Jack's Magical Beans,18.78,9241,L3288
1,2014-01-08T05:38:00Z,Wed,2014-01-08,13:38,Gelatogalore,50.36,1286,L3288
1,2014-01-08T12:12:00Z,Wed,2014-01-08,20:12,Ouzeri Elian,62.2,1286,L3288
1,2014-01-09T00:14:00Z,Thu,2014-01-09,08:14,Brew've Been Served,17.64,1286,L3572
1,2014-01-09T04:00:00Z,Thu,2014-01-09,12:00,Jack's Magical Beans,12.13,9241,NA
1,2014-01-09T05:47:00Z,Thu,2014-01-09,13:47,Abila Zacharo,48.39,1286,L3288
1,2014-01-09T11:43:00Z,Thu,2014-01-09,19:43,Ouzeri Elian,31.07,9241,NA
1,2014-01-09T12:24:00Z,Thu,2014-01-09,20:24,Guy's Gyros,18.26,1286,L3572
1,2014-01-10T00:01:00Z,Fri,2014-01-10,08:01,Brew've Been Served,5.89,1286,L3572
1,2014-01-10T04:00:00Z,Fri,2014-01-10,12:00,Jack's Magical Beans,16.29,9241,L3288
1,2014-01-10T05:35:00Z,Fri,2014-01-10,13:35,Kalami Kafenion,101.5,9241,L3288
1,2014-01-11T12:04:00Z,Sat,2014-01-11,20:04,Kalami Kafenion,50.2,1286,L3288
1,2014-01-12T05:40:00Z,Sun,2014-01-12,13:40,Gelatogalore,20.09,1286,NA
1,2014-01-12T07:24:00Z,Sun,2014-01-12,15:24,Shoppers' Delight,86.22,1286,L3572
1,2014-01-12T11:50:00Z,Sun,2014-01-12,19:50,Gelatogalore,36.2,1286,L3288
1,2014-01-13T00:07:00Z,Mon,2014-01-13,08:07,Brew've Been Served,11.49,1286,L3572
1,2014-01-13T04:00:00Z,Mon,2014-01-13,12:00,Jack's Magical Beans,5.22,9241,L3288
1,2014-01-13T05:21:00Z,Mon,2014-01-13,13:21,Abila Zacharo,64.5,1286,L3288
1,2014-01-13T12:42:00Z,Mon,2014-01-13,20:42,Guy's Gyros,88.57,1286,NA
1,2014-01-14T00:03:00Z,Tue,2014-01-14,08:03,Brew've Been Served,3.21,1286,L3572
1,2014-01-14T04:00:00Z,Tue,2014-01-14,12:00,Jack's Magical Beans,63.36,9241,NA
1,2014-01-14T05:59:00Z,Tue,2014-01-14,13:59,Guy's Gyros,50.4,1286,L3288
1,2014-01-14T12:41:00Z,Tue,2014-01-14,20:41,Ouzeri Elian,24.06,9241,NA
1,2014-01-14T23:49:00Z,Wed,2014-01-15,07:49,Brew've Been Served,11.23,1286,L3572
1,2014-01-15T04:00:00Z,Wed,2014-01-15,12:00,Jack's Magical Beans,5.3,9241,L3288
1,2014-01-15T05:27:00Z,Wed,2014-01-15,13:27,Katerinas Cafe,55.6,1286,L3288
1,2014-01-15T11:18:00Z,Wed,2014-01-15,19:18,Ouzeri Elian,28.86,9241,L3288
1,2014-01-15T13:05:00Z,Wed,2014-01-15,21:05,Guy's Gyros,27.01,1286,L3572
1,2014-01-15T23:52:00Z,Thu,2014-01-16,07:52,Brew've Been Served,12.67,1286,L3572
1,2014-01-16T04:00:00Z,Thu,2014-01-16,12:00,Jack's Magical Beans,14.86,9241,L3288
1,2014-01-16T05:22:00Z,Thu,2014-01-16,13:22,Abila Zacharo,64.71,1286,L3288
1,2014-01-16T12:50:00Z,Thu,2014-01-16,20:50,Shoppers' Delight,16.84,1286,L3572
1,2014-01-16T13:16:00Z,Thu,2014-01-16,21:16,Ouzeri Elian,29.99,9241,L3288
1,2014-01-17T00:23:00Z,Fri,2014-01-17,08:23,Brew've Been Served,51.04,1286,NA
1,2014-01-17T04:00:00Z,Fri,2014-01-17,12:00,Jack's Magical Beans,19.11,9241,L3288
1,2014-01-17T05:38:00Z,Fri,2014-01-17,13:38,Hippokampos,52.31,1286,L3288
1,2014-01-17T12:07:00Z,Fri,2014-01-17,20:07,Ouzeri Elian,70.21,9241,NA
1,2014-01-17T12:21:00Z,Fri,2014-01-17,20:21,Shoppers' Delight,289.33,1286,NA
1,2014-01-18T06:51:00Z,Sat,2014-01-18,14:51,Ahaggo Museum,55.55,1286,L3288
1,2014-01-18T12:01:00Z,Sat,2014-01-18,20:01,Hippokampos,49.21,1286,L3288
1,2014-01-19T05:26:00Z,Sun,2014-01-19,13:26,Ahaggo Museum,26.91,9241,L3288
